Start Time,Serie ID,Tournament,Blue Team,Red Team
2024-05-15T09:00:00Z,2677668,MSI - MSI 2024 (Bracket Stage: Playoffs),Team Liquid Honda,T1
2024-05-16T09:00:00Z,2669377,MSI - MSI 2024 (Bracket Stage: Playoffs),Bilibili Gaming,Gen.G
2024-05-17T09:00:00Z,2669378,MSI - MSI 2024 (Bracket Stage: Playoffs),T1,G2 Esports
2024-05-18T09:00:00Z,2669379,MSI - MSI 2024 (Bracket Stage: Playoffs),T1,Bilibili Gaming
2024-05-19T09:00:00Z,2669380,MSI - MSI 2024 (Bracket Stage: Playoffs),Bilibili Gaming,Gen.G
2024-05-21T16:00:00Z,2677036,Greek Legends League - Summer 2024 (Regular Season: Regular Season),HELL Zerolag,Wild Panthers Esports
2024-05-21T17:00:00Z,2677037,Greek Legends League - Summer 2024 (Regular Season: Regular Season),Gamespace Mediterranean College Esports,WLGaming Esports
2024-05-21T18:00:00Z,2677038,Greek Legends League - Summer 2024 (Regular Season: Regular Season),Team Refuse,Team Paradox
2024-05-21T19:00:00Z,2677039,Greek Legends League - Summer 2024 (Regular Season: Regular Season),Team Phantasma,Anorthosis Famagusta Esports
2024-05-22T16:00:00Z,2677040,Greek Legends League - Summer 2024 (Regular Season: Regular Season),Team Paradox,WLGaming Esports
2024-05-22T16:00:00Z,2677712,Prime League - Summer 2024 (Regular Season: Regular Season),Schalke 04,Eintracht Spandau
2024-05-22T16:00:00Z,2678291,La Ligue Française - Summer 2024 (Regular Season: Regular Season),Karmine Corp Blue,Team BDS Academy
2024-05-22T17:00:00Z,2675396,SuperLiga - Summer 2024 (Regular Season: Regular Season),ZETA Gaming,Rebels Gaming
2024-05-22T17:00:00Z,2675399,SuperLiga - Summer 2024 (Regular Season: Regular Season),Ramboot Club,UCAM Esports
2024-05-22T17:00:00Z,2677041,Greek Legends League - Summer 2024 (Regular Season: Regular Season),Team Refuse,Wild Panthers Esports
2024-05-22T17:00:00Z,2677713,Prime League - Summer 2024 (Regular Season: Regular Season),Unicorns Of Love Sexy Edition,SK Gaming Prime
2024-05-22T17:00:00Z,2678292,La Ligue Française - Summer 2024 (Regular Season: Regular Season),Team Du Sud,Aegis
